"Indice";"Pericoloso";"Categoria";"Nome"
"1";"0";"rifiuti di carta, cartone e prodotti di carta";"CARTA"
"2";"0";"rifiuti di vetro in forma non dispersibile";"VETRO"
"3";"0";"rifiuti di metalli e loro leghe sotto forma metallica non dispersibile";"METALLI"
"4";"0";"rifiuti contenenti metalli derivati dalla fonderia, fusione e raffinazione di metalli";"DERIVATI METALLICI"
"5";"0";"altri rifiuti contenenti metalli";"ALTRI METALLICI"
"6";"0";"rifiuti di plastiche";"PLASTICA"
"7";"0";"rifiuti ceramici e inerti";"CERAMICA E INERTI"
"8";"0";"rifiuti derivati da operazioni di conciatura e dell’utilizzo del cuoio e rifiuti tessili";"DERIVATI DA CONCIATURA"
"9";"0";"rifiuti di legno e sughero";"LEGNO E SUGHERO"
"10";"0";"rifiuti solidi in caucciù e gomma";"CAUCCIÙ E GOMMA"
"11";"0";"rifiuti derivati dall'industria agroalimentare";"AGROALIMENTARE"
"12";"0";"rifiuti di fanghi industriali";"FANGHI"
"13";"0";"rifiuti contenenti principalmente costituenti inorganici che possono a loro volta contenere metalli o materie organiche";"INORGANICI E METALLICI"
"14";"0";"rifiuti recuperabili da rsu e da rifiuti speciali non pericolosi assimilati per la produzione di cdr";"RECUPERABILI DA RSU"
"15";"0";"rifiuti recuperabili mediante procedimenti di digestione anaerobica";"RECUPERABILI DA DIGESTIONE"
"16";"0";"rifiuti compostabili";"COMPOSTABILI"
"17";"0";"rifiuti recuperabili con processi di pirolisi e gassificazione";"RECUPERABILI DA PIROLISI"
"18";"0";"rifiuti destinati alla produzione di fertilizzanti";"FERTILIZZANTI"
"1";"1";"zinco, rame, piombo e leghe affini";"METALLI NON FERROSI"
"2";"1";"soluzione fotografiche, radiografie, cinefotoradiografia";"METALLI PREZIOSI"
"3";"1";"scoria da alluminio, piombo, rame...";"SCORIE DI FUSIONE"
"4";"1";"fanghi contenenti rame, piombo, zolfo e altri metalli da fonderia";"FANGHI"
"5";"1";"soluzioni contenenti alluminio, solfati, cloruri o acidi";"REFLUI LIQUIDI A CARATTERE INORGANICO"
"6";"1";"soluzioni e miscele acquose contaminate";"REFLUI LIQUIDI A CARATTERE ORGANICO"
"7";"1";"carboni attivi esauste, morchie di verniciatura, idrossido di calcio";"ALTRI RIFIUTI"
