"Codice";"Recupero";"Descrizione"
"D1";"0";"Deposito sul o nel suolo (ad esempio discarica)"
"D2";"0";"Trattamento in ambiente terrestre (ad esempio biodegradazione di rifiuti liquidi o fanghi nei suoli)"
"D3";"0";"Iniezioni in profondità (ad esempio iniezioni dei rifiuti pompabili in pozzi, in cupole saline o faglie geologiche naturali)"
"D4";"0";"Lagunaggio (ad esempio scarico di rifiuti liquidi o di fanghi in pozzi, stagni o lagune, ecc.)"
"D5";"0";"Messa in discarica specialmente allestita (ad esempio sistematizzazione in alveoli stagni separati, ricoperti o isolati gli uni dagli altri e dall'ambiente)"
"D6";"0";"Scarico dei rifiuti solidi nell'ambiente idrico eccetto l'immersione"
"D7";"0";"Immersione, compreso il seppellimento nel sottosuolo marino"
"D8";"0";"Trattamento biologico non specificato altrove nel presente allegato, che dia origine a composti o a miscugli che vengono eliminati secondo uno dei procedimenti elencati nei punti da D1 a D12"
"D9";"0";"Trattamento fisico-chimico non specificato altrove nel presente allegato, che dia origine a composti o a miscugli eliminati secondo uno dei procedimenti elencati nei punti da D1 a D12. (ad esempio evaporazione, essiccazione, calcinazione, ecc.)"
"D10";"0";"Incenerimento a terra"
"D11";"0";"Incenerimento in mare"
"D12";"0";"Deposito permanente (ad esempio sistemazione di contenitori in una miniera, ecc.)"
"D13";"0";"Raggruppamento preliminare prima di una delle operazioni di cui ai punti da D1 a D12"
"D14";"0";"Ricondizionamento preliminare prima di una delle operazioni di cui ai punti da D1 a D13"
"D15";"0";"Deposito preliminare prima di uno delle operazioni di cui ai punti da D1 a D14 (escluso il deposito temporaneo, prima della raccolta, nel luogo in cui sono prodotti)"'
"R1";"1";"Utilizzazione principale come combustibile o come altro mezzo per produrre energia"
"R2";"1";"Rigenerazione/recupero di solventi"
"R3";"1";"Riciclo/recupero delle sostanze organiche non utilizzate come solventi (comprese le operazioni di compostaggio e altre trasformazioni biologiche)"
"R4";"1";"Riciclo/recupero dei metalli e dei composti metallici"
"R5";"1";"Riciclo/recupero di altre sostanze inorganiche"
"R6";"1";"Rigenerazione degli acidi o delle basi"
"R7";"1";"Recupero dei prodotti che servono a captare gli inquinanti"
"R8";"1";"Recupero dei prodotti provenienti dai catalizzatori"
"R9";"1";"Rigenerazione o altri reimpieghi degli oli"
"R10";"1";"Spandimento sul suolo a beneficio dell'agricoltura o dell'ecologia"
"R11";"1";"Utilizzazione di rifiuti ottenuti da una delle operazioni indicate da R1 a R10"
"R12";"1";"Scambio di rifiuti per sottoporli a una delle operazioni indicate da R1 a R11"
"R13";"1";"Messa in riserva di rifiuti per sottoporli a una delle operazioni indicate nei punti da R1 a R12 (escluso il deposito temporaneo, prima della raccolta, nel luogo in cui sono prodotti)"
"R14";"1";"Deposito temporaneo, prima della raccolta, nel luogo in cui sono prodotti i rifiuti qualora non vengano rispettate le condizioni stabilite dalla normativa vigente"
